"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",15899,32223,32781,31483,27213,30390,30910,31561
"Belgique",17929,48643,51879,46556,43418,27674,28989,31433
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",24770,49007,61960,44966,43747,37517,36604,34507
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,18192,15207
"Allemagne",53726,112553,111939,108537,109662,99068,98875,95724
"Danemark",0,0,10688,0,0,10782,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",0,0,0,0,0,0,0,0
"Finlande",0,14733,14859,13080,14078,11820,10402,0
"France",18538,36452,35455,36829,36764,30863,64230,50272
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",0,0,0,0,0,0,0,0
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",9049,17908,15317,12390,11933,9993,10383,0
"Macedoine",12789,20802,22169,23262,26333,25673,27598,30862
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",15653,16786,11791,0,11768,12253,12652,13315
"Norvège",0,0,0,0,0,0,0,0
"Pologne",12001,17655,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",31106,52173,60818,68854,71005,69516,84913,75349
"Royaume-Uni",58127,85522,71995,65375,65787,56589,60489,60076
"Total",269587,504457,501651,451332,461708,422138,484237,438306
