"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",238590,501474,352974,332098,320086,308333,305500,259541
"Belgique",63298,112453,126419,121703,112002,107532,104578,108671
"Bulgarie",63050,91814,78467,80569,74754,105438,62431,18411
"Suisse",504523,946042,900482,686028,668168,648995,631232,567858
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",190052,336826,255960,255287,244374,244632,275417,236444
"Allemagne",1034712,2118655,2011307,1841447,1750431,1687220,1663860,1375787
"Danemark",418766,806326,747148,678003,612938,607583,544995,478229
"Estonie",0,44938,40327,42189,44473,47893,0,0
"Grece",98808,591744,454837,453966,408585,353616,465534,405625
"Espagne",1824549,3626069,3033317,2823900,2596956,2574588,2746439,2189835
"Finlande",156199,281620,255704,254870,243138,235005,238094,210374
"France",840142,1707946,1517899,1547745,1436289,1374774,1215974,1122426
"Croatie",39647,101057,86563,67546,0,39657,0,0
"Hongrie",190421,371299,299845,294753,302897,298602,274947,207204
"Irlande",327428,612933,451880,406888,403547,379986,370432,329780
"Iselande",98909,157228,101149,78743,68566,59825,49990,43407
"Italie",1053090,2133614,1989241,1746418,1595076,1515304,1410646,1289574
"Lituanie",0,31458,31090,28971,24485,21327,0,0
"Luxembourg",40676,83376,73842,67974,62036,56963,52129,46596
"Lettonie",34195,63637,80306,61441,52808,49638,48752,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",23529,51254,48554,37715,0,0,0,0
"Norvège",420594,883869,864808,839335,782733,803127,738696,664743
"Pologne",273037,504254,414674,331540,266474,236631,198104,208167
"Portugal",483507,970408,802864,746645,725160,601943,540621,466634
"Roumanie",102337,217000,229537,199881,185767,167056,155511,147373
"Suède",340468,620360,585733,536977,547949,539984,497858,463093
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",336393,1065815,1330567,1377412,1286659,1169496,1122618,965438
"Royaume-Uni",2523931,5040085,4684813,4299571,4020024,3808908,3840609,3441709
"Total",11720851,24073554,21850307,20239615,18836375,18044056,17554967,15246919
