"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,190673,196770,193031,207418,243334,186306,173869
"Belgique",0,103164,93538,75000,79964,76917,83472,81133
"Suisse",0,30537,28309,0,0,0,37931,36385
"Chypre",0,40052,39541,30665,25235,27604,31776,33893
"Tchéquie",0,76377,95178,46373,75576,96909,120968,112196
"Allemagne",0,784894,574741,512425,503237,491510,479116,392223
"Danemark",0,0,15435,0,20484,29500,27369,29064
"Estonie",0,10694,0,0,0,0,0,0
"Grece",0,73004,49235,50137,46918,50196,51394,50322
"Espagne",0,147113,126024,125288,118055,114917,120698,129425
"Finlande",0,0,15187,0,24841,10836,29350,28504
"France",0,87367,91253,88560,70930,95363,85643,76517
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,10459,0,11464,12410,67203,50415
"Irlande",0,0,15149,0,14008,14779,19451,16263
"Iselande",0,0,0,0,0,0,0,0
"Italie",0,209023,174735,158305,127785,122108,127443,137882
"Lituanie",0,11857,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,10286,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,21354,0,0,0,0,0,0
"Pays-bas",0,113699,100253,106553,105709,98977,93040,61271
"Norvège",0,0,17268,22625,22165,20875,17855,14732
"Pologne",0,195575,130935,95246,80063,77192,69718,53716
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,10442,30882,27463,25666,0,0
"Suède",0,0,0,0,10658,0,11837,12332
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,22913,33387,20040,34714,36723,23587,17428
"Turquie",0,124901,124696,92720,74808,59812,38502,39828
"Royaume-Uni",0,556696,475440,356832,388727,374172,356494,359190
"Total",0,2799893,2428261,2004682,2070222,2079800,2079153,1906588
