"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,16191,10140,0,0,13091,0,0
"Belgique",12794,18316,21091,22363,23571,28230,15395,0
"Bulgarie",0,10897,0,0,0,0,0,0
"Suisse",0,0,0,0,0,0,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,11846,28367,31020
"Allemagne",79298,197106,167455,143677,106705,141156,114253,64710
"Danemark",16594,36687,49430,53519,56468,59953,62410,65202
"Grece",0,13679,10788,0,0,0,0,0
"Espagne",0,11608,12252,12323,11524,13481,12797,0
"Finlande",61205,115712,101831,101961,97762,95668,90404,73546
"France",0,14653,25372,0,0,13911,0,0
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",0,11066,0,0,10788,14947,24235,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",14217,42087,27614,22811,23242,22648,20550,0
"Lituanie",20367,31398,21376,27402,19853,37780,16857,26754
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",50279,99982,90353,90121,95235,88217,83866,73572
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",24010,41460,39890,41397,42488,46169,27213,0
"Norvège",27973,72430,70579,62325,60937,67876,60660,43334
"Pologne",20791,22790,17388,15992,12059,11641,10056,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",47208,67866,47280,45972,67460,86155,70494,56552
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",29429,54116,77763,69760,36502,25641,28035,27776
"Royaume-Uni",18473,52751,73391,64056,65617,76521,122606,42062
"Total",422638,930795,863993,773679,730211,854931,788198,504528
